DateTime,Symbol,Ticket,Type,Lots,Price,SL,Comment
2025.07.11 18:38,EURGBP,0,BUY,0,0.8665,0,Buy Entry
2025.07.14 20:00,EURUSD,29082453,SELL,0.01,1.16616,0.86626,Sell Entry
2025.07.15 20:00,EURUSD,29082453,SELL,0.01,1.15956,0.86626,Sell Entry
2025.07.16 12:00,EURGBP,29090214,BUY,0.02,0.86823,1.16382,Buy Entry
2025.07.16 20:00,EURGBP,29096131,BUY,0.01,0.86727,1.15956,Buy Entry
2025.07.16 20:00,EURUSD,29096131,BUY,0.01,1.16401,1.15956,Buy Entry
2025.07.17 04:00,AUDCAD,29098471,SELL,0.02,0.89219,0.86453,Sell Entry
2025.07.17 12:00,EURUSD,29098471,SELL,0.02,1.16009,0.86453,Sell Entry
2025.07.17 16:00,EURGBP,29103164,SELL,0.02,0.86456,0.89219,Sell Entry
2025.07.18 16:00,AUDCAD,29103771,BUY,0.01,0.89523,1.16586,Buy Entry
2025.07.22 12:00,EURUSD,29111157,BUY,0.03,1.16991,0.89174,Buy Entry
2025.07.22 20:30,EURUSD,29123312,BUY,0.01,1.17468,1.17453,Buy Entry
2025.07.24 14:00,EURUSD,29132723,SELL,0.01,1.17484,1.17688,Sell Entry
2025.07.24 16:06,EURUSD,29137114,SELL,0.01,1.17469,1.17484,Sell Entry
2025.07.25 16:00,EURUSD,29137114,SELL,0.01,1.17176,1.17484,Sell Entry
2025.07.29 00:00,EURUSD,29144270,SELL,0.01,1.15877,1.17382,Sell Entry
2025.07.29 12:00,EURUSD,29152783,SELL,0.01,1.15686,1.15457,Sell Entry
2025.07.30 16:00,EURUSD,29157044,SELL,0.01,1.14719,1.15716,Sell Entry
2025.07.31 00:00,EURGBP,29164573,SELL,0.01,0.86125,1.15281,Sell Entry
2025.07.31 00:26,EURUSD,29166737,SELL,0.01,1.14043,0.86529,Sell Entry
2025.08.04 00:03,EURGBP,29169326,BUY,0.01,0.87318,1.14676,Buy Entry
2025.08.05 16:05,EURUSD,0,SELL,0.00,1.15383,0.00000,Sell Entry
2025.08.05 19:04,EURUSD,0,BUY,0.00,1.15826,0.00000,Buy Entry
2025.08.06 17:00,EURUSD,29195081,BUY,0.01,1.16365,1.15554,Buy Entry
2025.08.06 21:51,EURUSD,29201701,BUY,0.01,1.16642,1.16628,Buy Entry
2025.08.07 08:00,EURUSD,29205651,BUY,0.01,1.16721,1.16333,Buy Entry
